,Rating,Name,Country,Overall_review,Review_times,Review_date,Review_tags,Subjectivity,Polarity,Analysis
23,7.0,Rae,United States of America,Good,1,2020-02-28,"Business trip, Solo traveler, Queen Room, Stayed 3 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
24,7.0,Anton,South Africa,Much better than what some reviews suggest,1,2020-01-20,"Business trip, Couple, Queen Room, Stayed 6 nights, Submitted from a mobile device",0.5,0.5,Positive
25,6.0,Erica,United States of America,Pleasant,5,2020-01-19,"Leisure trip, Couple, Queen Room, Stayed 3 nights",0.9666666666666667,0.7333333333333333,Positive
26,7.0,Jose,United States of America,"If you're looking for a centrally located hotel at a good price & you're not fussy, this is it.",3,2020-01-16,"Leisure trip, Group, Twin Room with Two Twin Beds, Stayed 1 night",0.42500000000000004,0.35,Positive
27,8.0,Michelle,United States of America,It’s a charming old hotel in an excellent location with helpful staff,1,2020-01-15,"Business trip, Solo traveler, Queen Room, Stayed 1 night, Submitted from a mobile device",0.7333333333333334,0.6,Positive
28,8.0,Mark,United States of America,Better that expected and worked well for our needs.,3,2020-01-14,"Leisure trip, Family with young children, Twin Room with Two Twin Beds, Stayed 1 night, Submitted from a mobile device",0.45,0.2,Positive
29,8.0,Ruta,United Kingdom,Very Good,8,2020-01-13,"Business trip, Group, Twin Room with Two Twin Beds, Stayed 2 nights, Submitted from a mobile device",0.7800000000000001,0.9099999999999999,Positive
30,8.0,Ipuchtel,United States of America,Nice little rustic hotel in the heart of San Francisco,39,2020-01-13,"Business trip, Couple, Queen Room, Stayed 8 nights",0.75,0.20625,Positive
31,8.0,Carinabina,United States of America,Great stay in Union Square,6,2020-01-12,"Business trip, Solo traveler, Queen Room, Stayed 3 nights",0.75,0.8,Positive
32,7.0,Matteo,Italy,Good,3,2020-01-11,"Leisure trip, Couple, Queen Room, Stayed 2 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
33,7.1,Sharlita,Malaysia,"Upon checking in, front desk ( guy) was rather rude",2,2020-01-09,"Leisure trip, Solo traveler, Queen Room, Stayed 4 nights, Submitted from a mobile device",0.6,-0.3,Negative
34,7.0,Roisin,Ireland,Good,1,2020-01-09,"Leisure trip, Couple, Queen Room, Stayed 4 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
35,7.0,Linda,United States of America,Good,2,2020-01-09,"Leisure trip, Travelers with friends, Twin Room with Two Twin Beds, Stayed 2 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
36,7.5,An,Cambodia,Good,4,2020-01-09,"Leisure trip, Couple, Twin Room with Two Twin Beds, Stayed 4 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
37,8.0,Elizabeth,Australia,Excellent location and comfortable with convenience.,17,2020-01-08,"Leisure trip, Family with young children, Twin Room with Two Twin Beds, Stayed 3 nights, Submitted from a mobile device",0.9,0.7,Positive
38,7.9,Carolina,United States of America,Excellent location,4,2020-01-07,"Leisure trip, Family with young children, Queen Room, Stayed 3 nights, Submitted from a mobile device",1.0,1.0,Positive
39,6.0,Paolo_b212,Italy,Good stay in San Francisco,46,2020-01-03,"Leisure trip, Couple, Queen Room, Stayed 4 nights",0.6000000000000001,0.7,Positive
40,8.0,Janice,Canada,We enjoyed our stay.,5,2020-01-03,"Leisure trip, Couple, Queen Room, Stayed 3 nights",0.7,0.5,Positive
41,7.0,Joseph,United States of America,It was okay 👌🏻 lol,1,2019-12-31,"Leisure trip, Couple, Queen Room, Stayed 1 night, Submitted from a mobile device",0.6,0.65,Positive
42,7.9,Nadia,United States of America,Good,2,2019-12-29,"Leisure trip, Travelers with friends, Twin Room with Two Twin Beds, Stayed 3 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
43,7.0,Jerome,United States of America,Good,2,2019-12-26,"Leisure trip, Family with young children, Double Room with Two Double Beds, Stayed 1 night, Submitted from a mobile device",0.6000000000000001,0.7,Positive
44,8.0,Nosheen,United States of America,Very Good,2,2019-12-26,"Leisure trip, Family with young children, Queen Room, Stayed 3 nights, Submitted from a mobile device",0.7800000000000001,0.9099999999999999,Positive
45,7.1,Manuel,United States of America,Room very quaint but too small l,4,2019-12-26,"Leisure trip, Couple, Twin Room with Two Twin Beds, Stayed 1 night, Submitted from a mobile device",0.35,-0.024999999999999994,Negative
46,8.0,Rachel,New Zealand,"Would definitely stay here again, really liked it. The place just needs a refurbishment.",4,2019-12-25,"Leisure trip, Couple, Queen Room, Stayed 4 nights, Submitted from a mobile device",0.65,0.3,Positive
47,8.8,Maria,Sweden,Good location but noisy,39,2019-12-24,"Leisure trip, Couple, Queen Room, Stayed 4 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
48,8.0,Carol,Canada,Very Good,16,2019-12-22,"Leisure trip, Couple, Queen Room, Stayed 1 night",0.7800000000000001,0.9099999999999999,Positive
49,8.0,Carol,United States of America,Very Good,4,2019-11-08,"Business trip, Family with young children, Queen Room, Stayed 1 night, Submitted from a mobile device",0.7800000000000001,0.9099999999999999,Positive
50,7.1,Carlos,Dominican Republic,Good,1,2019-11-08,"Couple, Queen Room, Stayed 7 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
51,6.7,Alexandros,Greece,Pleasant,53,2019-11-06,"Leisure trip, Travelers with friends, Twin Room with Two Twin Beds, Stayed 4 nights, Submitted from a mobile device",0.9666666666666667,0.7333333333333333,Positive
52,6.7,David,Romania,Pleasant,7,2019-11-06,"Leisure trip, Couple, Queen Room, Stayed 1 night, Submitted from a mobile device",0.9666666666666667,0.7333333333333333,Positive
53,6.0,David,Australia,Good budget hotel,8,2019-11-06,"Leisure trip, Couple, Queen Room, Stayed 1 night, Submitted from a mobile device",0.6000000000000001,0.7,Positive
54,7.0,Corissa,United States of America,"Good for short stays, and budget friendly",1,2019-11-05,"Leisure trip, Couple, Queen Room, Stayed 3 nights, Submitted from a mobile device",0.46666666666666673,0.35833333333333334,Positive
55,6.3,Jorge,United States of America,Pleasant,1,2019-11-05,"Solo traveler, Queen Room, Stayed 1 night, Submitted from a mobile device",0.9666666666666667,0.7333333333333333,Positive
56,7.0,Sue,New Zealand,Good,3,2019-11-05,"Leisure trip, Family with young children, Double Room with Two Double Beds, Stayed 7 nights",0.6000000000000001,0.7,Positive
57,6.0,David,United Kingdom,Pleasant,4,2019-11-05,"Leisure trip, Group, Queen Room, Stayed 2 nights, Submitted from a mobile device",0.9666666666666667,0.7333333333333333,Positive
58,7.1,Anne,Australia,Good,5,2019-11-04,"Leisure trip, Family with young children, Queen Room, Stayed 3 nights",0.6000000000000001,0.7,Positive
59,7.1,Linda,New Zealand,"GREAT LOCATION, VERY OLD HOTEL, VERY SMALL ROOMS.",46,2019-11-03,"Leisure trip, Couple, Queen Room, Stayed 6 nights",0.51,0.20166666666666666,Positive
60,7.0,Jennifer,United States of America,"Serviceable for a quick trip, place to sleep and store luggage",1,2019-11-03,"Business trip, Couple, Queen Room, Stayed 1 night, Submitted from a mobile device",0.5,0.3333333333333333,Positive
61,8.3,Constantin,Switzerland,Very Good,7,2019-11-03,"Leisure trip, Couple, Queen Room, Stayed 2 nights, Submitted from a mobile device",0.7800000000000001,0.9099999999999999,Positive
62,8.0,Diane,United States of America,Would come again for value,2,2019-10-31,"Leisure trip, Group, Twin Room with Two Twin Beds, Stayed 1 night, Submitted from a mobile device",0.0,0.0,Neutral
63,7.1,Touseef,Pakistan,Good,9,2019-10-31,"Business trip, Solo traveler, Double Room with Two Double Beds, Stayed 2 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
64,7.0,Mark,Australia,"Great location, good staff",1,2019-10-31,"Leisure trip, Couple, Queen Room, Stayed 3 nights, Submitted from a mobile device",0.675,0.75,Positive
65,8.8,Matthew,United Kingdom,Ideal budget hotel base to stay,18,2019-10-31,"Leisure trip, Travelers with friends, Twin Room with Two Twin Beds, Stayed 5 nights, Submitted from a mobile device",1.0,0.04999999999999999,Positive
66,8.8,Deborah,United States of America,"In a city that is extremely expensive, this was a modest hotel very much in the European model.",1,2019-10-30,"Leisure trip, Solo traveler, Queen Room, Stayed 3 nights",0.465,-0.035,Negative
67,7.9,Amer,United Arab Emirates,Good,5,2019-10-30,"Leisure trip, Solo traveler, Twin Room with Two Twin Beds, Stayed 4 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
68,7.0,Susan,Uganda,lovely,2,2019-10-30,"Business trip, Group, Twin Room with Two Twin Beds, Stayed 7 nights",0.75,0.5,Positive
69,8.3,Georgia,Canada,Very Good,1,2019-10-30,"Leisure trip, Travelers with friends, Double Room with Two Double Beds, Stayed 1 night, Submitted from a mobile device",0.7800000000000001,0.9099999999999999,Positive
70,7.5,Sandra,Canada,Good,5,2019-10-29,"Leisure trip, Couple, Queen Room, Stayed 1 night, Submitted from a mobile device",0.6000000000000001,0.7,Positive
71,7.9,Eimear,Ireland,perfect ticked our boxes,4,2019-10-29,"Leisure trip, Couple, Queen Room, Stayed 2 nights",1.0,1.0,Positive
72,6.7,Megan,Australia,Pleasant,4,2019-10-29,"Leisure trip, Group, Twin Room with Two Twin Beds, Stayed 2 nights",0.9666666666666667,0.7333333333333333,Positive
73,7.9,Johanna,United States of America,Good,2,2019-10-28,"Leisure trip, Couple, Queen Room, Stayed 3 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
74,8.0,Rasha,Egypt,Lovely stay i liked the hotel,1,2019-10-02,"Business trip, Family with young children, Queen Room, Stayed 1 night, Submitted from a mobile device",0.775,0.55,Positive
75,7.1,Holly,United Kingdom,"Window would not open, but happy overall with my stay. Good for a short stay",5,2019-10-01,"Business trip, Solo traveler, Twin Room with Two Twin Beds, Stayed 1 night",0.48,0.3,Positive
76,8.8,Lynn,United Kingdom,Excellent,1,2019-09-30,"Leisure trip, Family with young children, Queen Room, Stayed 6 nights, Submitted from a mobile device",1.0,1.0,Positive
77,8.0,Judy,United Kingdom,Ideal location !,9,2019-09-29,"Leisure trip, Group, Twin Room with Two Twin Beds, Stayed 1 night, Submitted from a mobile device",1.0,1.0,Positive
78,8.0,Douglas,United States of America,Very Good,5,2019-09-28,"Leisure trip, Couple, Twin Room with Two Twin Beds, Stayed 3 nights, Submitted from a mobile device",0.7800000000000001,0.9099999999999999,Positive
79,7.1,Brian,United Kingdom,Good,36,2019-09-28,"Leisure trip, Couple, Queen Room, Stayed 2 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
80,7.5,Megan,United Kingdom,Good,10,2019-09-27,"Leisure trip, Group, Queen Room, Stayed 3 nights",0.6000000000000001,0.7,Positive
81,6.7,Sara,United States of America,Pleasant,1,2019-09-27,"Leisure trip, Couple, Queen Room, Stayed 1 night, Submitted from a mobile device",0.9666666666666667,0.7333333333333333,Positive
82,7.5,Lauren,United States of America,Good,5,2019-09-27,"Leisure trip, Family with young children, Twin Room with Two Twin Beds, Stayed 2 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
83,7.9,Hazel,United Kingdom,Good,17,2019-09-25,"Leisure trip, Family with young children, Queen Room, Stayed 4 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
84,7.9,Danny,United States of America,Good,1,2019-09-24,"Business trip, Solo traveler, Queen Room, Stayed 3 nights",0.6000000000000001,0.7,Positive
85,8.8,Julekake515,United States of America,The staff was friendly and accommodating. It was fine but not A1.,2,2019-09-23,"Leisure trip, Couple, Room Selected at Check-In, Stayed 3 nights, Submitted from a mobile device",0.5,0.39583333333333337,Positive
86,7.9,Anthony,Ireland,Great location.,15,2019-09-23,"Leisure trip, Group, Double Room with Two Double Beds, Stayed 2 nights, Submitted from a mobile device",0.75,0.8,Positive
87,8.3,Claudine,Canada,Great location. Quiet and close to restaurants and transat.  Would stay here again.,2,2019-09-23,"Leisure trip, Family with young children, Twin Room with Two Twin Beds, Stayed 3 nights, Submitted from a mobile device",0.5416666666666666,0.4,Positive
88,8.8,Donna,United States of America,Fall in SF,6,2019-09-23,"Leisure trip, Travelers with friends, Twin Room with Two Twin Beds, Stayed 1 night, Submitted from a mobile device",0.0,0.0,Neutral
89,8.8,Andrea,United States of America,Excellent,9,2019-09-23,"Leisure trip, Couple, Queen Room, Stayed 1 night, Submitted from a mobile device",1.0,1.0,Positive
90,8.3,Scott,United States of America,Convenient comfort,1,2019-09-23,"Business trip, Solo traveler, Room Selected at Check-In, Stayed 2 nights, Submitted from a mobile device",0.0,0.0,Neutral
91,6.3,Jay-allen,United States of America,"Cheap, decent, clean, nothing fancy.",9,2019-09-23,"Business trip, Couple, Queen Room, Stayed 1 night",0.688888888888889,0.3111111111111111,Positive
92,7.9,Pamela,United States of America,Beresford,5,2019-09-22,"Leisure trip, Family with young children, Room Selected at Check-In, Stayed 4 nights, Submitted from a mobile device",0.0,0.0,Neutral
93,6.7,Joe,Ireland,Pleasant,10,2019-09-21,"Leisure trip, Couple, Twin Room with Two Twin Beds, Stayed 2 nights, Submitted from a mobile device",0.9666666666666667,0.7333333333333333,Positive
94,7.5,Mandy,United Kingdom,Good,9,2019-09-19,"Leisure trip, Travelers with friends, Twin Room with Two Twin Beds, Stayed 2 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
95,7.9,Jeff,New Zealand,Good hotel.  Not cheap but San Francisco is quite expensive so won't do any better in the location.,22,2019-09-18,"Leisure trip, Couple, Queen Room, Stayed 6 nights",0.625,0.12499999999999999,Positive
96,8.3,Emily,United States of America,I would go back in a heartbeat.,7,2019-09-18,"Leisure trip, Couple, Queen Room, Stayed 1 night, Submitted from a mobile device",0.0,0.0,Neutral
97,7.9,Janice,United Kingdom,Reasonable,15,2019-09-17,"Leisure trip, Group, Queen Room, Stayed 2 nights, Submitted from a mobile device",0.6,0.2,Positive
98,6.7,Karen,United Kingdom,Pleasant,44,2019-09-17,"Leisure trip, Couple, Queen Room, Stayed 3 nights, Submitted from a mobile device",0.9666666666666667,0.7333333333333333,Positive
99,6.7,Ian,New Zealand,"some good bits and bad bits. If breakfast selection and room facilites could be improved, would be b",33,2019-08-27,"Leisure trip, Couple, Queen Room, Stayed 3 nights, Submitted from a mobile device",0.6333333333333333,5.551115123125783e-17,Positive
100,8.8,Toni,Australia,Excellent,5,2019-08-26,"Leisure trip, Couple, Queen Room, Stayed 2 nights, Submitted from a mobile device",1.0,1.0,Positive
101,7.5,Bev,Australia,An older style of accomodation but everything was good,1,2019-08-26,"Leisure trip, Group, Twin Room with Two Twin Beds, Stayed 3 nights, Submitted from a mobile device",0.4666666666666667,0.4333333333333333,Positive
102,7.5,Pierina,Malta,Fairly good.,3,2019-08-26,"Leisure trip, Group, Twin Room with Two Twin Beds, Stayed 4 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
103,8.3,Marvin,United States of America,Very Good,1,2019-08-25,"Leisure trip, Couple, Queen Room, Stayed 1 night",0.7800000000000001,0.9099999999999999,Positive
104,8.8,John,United Kingdom,A great base for San Francisco,9,2019-08-24,"Leisure trip, Family with young children, Double Room with Two Double Beds, Stayed 3 nights, Submitted from a mobile device",0.875,0.0,Neutral
105,7.5,Gugaplens,Brazil,Nice place and location,4,2019-08-24,"Leisure trip, Family with young children, Double Room with Two Double Beds, Stayed 3 nights, Submitted from a mobile device",1.0,0.6,Positive
106,7.1,Hiu,Canada,"Central location is the main selling point, but not if you have to park your car",4,2019-08-23,"Leisure trip, Couple, Twin Room with Two Twin Beds, Stayed 1 night",0.29166666666666663,0.08333333333333333,Positive
107,7.5,Pedro,United States of America,Nice place to stay if traveling on a budget.,1,2019-08-23,"Leisure trip, Family with young children, Twin Room with Two Twin Beds, Stayed 2 nights",1.0,0.6,Positive
108,7.1,Wieb,New Zealand,Good,1,2019-08-22,"Leisure trip, Couple, Queen Room, Stayed 4 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
109,8.3,Yaroslav,Ukraine,Very Good,2,2019-08-22,"Leisure trip, Couple, Queen Room, Stayed 3 nights, Submitted from a mobile device",0.7800000000000001,0.9099999999999999,Positive
110,6.3,Sandra,United States of America,Pleasant,3,2019-08-21,"Leisure trip, Couple, Queen Room, Stayed 3 nights, Submitted from a mobile device",0.9666666666666667,0.7333333333333333,Positive
111,6.3,Mark,United States of America,Pleasant,14,2019-08-21,"Leisure trip, Couple, Twin Room with Two Twin Beds, Stayed 2 nights, Submitted from a mobile device",0.9666666666666667,0.7333333333333333,Positive
112,7.9,Elspeth,Australia,"Great location, helpful belhop and lovely friendly maids.",6,2019-08-21,"Leisure trip, Couple, Queen Room, Stayed 2 nights, Submitted from a mobile device",0.6666666666666666,0.5583333333333333,Positive
113,8.3,Sergio,Spain,Nice and comfortable hotel near Union Square,36,2019-08-20,"Leisure trip, Family with young children, Double Room with Two Double Beds, Stayed 1 night",0.7333333333333334,0.3666666666666667,Positive
114,7.5,Margot,Australia,Good,14,2019-08-20,"Leisure trip, Couple, Queen Room, Stayed 4 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
115,7.5,Jennifer,United States of America,Good,1,2019-08-20,"Leisure trip, Couple, Queen Room, Stayed 3 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
116,8.3,Benjamin,United States of America,Lovely location. Wonderful stay in a historic building.,8,2019-08-20,"Leisure trip, Couple, Queen Room, Stayed 1 night",0.5833333333333334,0.5,Positive
117,8.3,Mark,United States of America,"Great location, relaxed and friendly staff",1,2019-08-19,"Leisure trip, Solo traveler, Queen Room, Stayed 1 night",0.625,0.5875,Positive
118,8.8,Cheryl,Canada,Excellent stay. Thank you.,6,2019-08-18,"Leisure trip, Couple, Queen Room, Stayed 2 nights, Submitted from a mobile device",1.0,1.0,Positive
119,8.8,Alisa,United States of America,Value and convenience near Union Square,1,2019-08-18,"Leisure trip, Family with young children, Double Room with Two Double Beds, Stayed 1 night, Submitted from a mobile device",0.4,0.1,Positive
120,7.9,Shawne,United States of America,"Adequate.  The room was  clean, although the furnishings could use a refresh. Comfortable  bed!",1,2019-08-18,"Leisure trip, Solo traveler, Queen Room, Stayed 3 nights, Submitted from a mobile device",0.6111111111111112,0.39999999999999997,Positive
121,8.8,Narine,Canada,Excellent,2,2019-08-18,"Leisure trip, Travelers with friends, Twin Room with Two Twin Beds, Stayed 4 nights, Submitted from a mobile device",1.0,1.0,Positive
122,7.5,Sazza65,United Kingdom,Good,17,2019-08-18,"Leisure trip, Couple, Queen Room, Stayed 2 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
123,7.9,Ramon,Australia,Great place to rest your weary bones after a long day.,1,2019-08-17,"Leisure trip, Couple, Queen Room, Stayed 3 nights, Submitted from a mobile device",0.575,0.375,Positive
124,6.7,Stanley,United States of America,Pleasant,1,2019-07-18,"Leisure trip, Couple, Queen Room, Stayed 4 nights, Submitted from a mobile device",0.9666666666666667,0.7333333333333333,Positive
125,8.3,Paul,Australia,Great base to explore San Francisco.................,4,2019-07-17,"Leisure trip, Family with young children, Queen Room, Stayed 7 nights",0.875,0.0,Neutral
126,6.3,Tim,Australia,Good location,5,2019-07-17,"Leisure trip, Family with young children, Double Room with Two Double Beds, Stayed 3 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
127,8.8,Laura,United States of America,Comfortable beds,1,2019-07-16,"Leisure trip, Family with young children, Twin Room with Two Twin Beds, Stayed 1 night, Submitted from a mobile device",0.8,0.4,Positive
128,8.3,Donna,Switzerland,Very Good,10,2019-07-16,"Leisure trip, Family with young children, Twin Room with Two Twin Beds, Stayed 3 nights, Submitted from a mobile device",0.7800000000000001,0.9099999999999999,Positive
129,8.8,Katherine,United States of America,Excellent,6,2019-07-16,"Leisure trip, Solo traveler, Double Room with Two Double Beds, Stayed 1 night",1.0,1.0,Positive
130,8.3,Steve,Canada,Very Good,5,2019-07-15,"Leisure trip, Solo traveler, Queen Room, Stayed 1 night",0.7800000000000001,0.9099999999999999,Positive
131,8.8,Maeve,Ireland,"Nice hotel, centrally located",3,2019-07-15,"Leisure trip, Couple, Queen Room, Stayed 5 nights, Submitted from a mobile device",0.625,0.3,Positive
132,8.8,Risa,United States of America,Great hotel for the price in San Francisco,6,2019-07-14,"Leisure trip, Couple, Queen Room, Stayed 2 nights, Submitted from a mobile device",0.75,0.8,Positive
133,6.3,Michelle,United States of America,The hotel was clean and located centrally.,2,2019-07-14,"Leisure trip, Family with young children, Double Room with Two Double Beds, Stayed 1 night, Submitted from a mobile device",0.47500000000000003,0.18333333333333335,Positive
134,6.3,Keith,New Zealand,OK,9,2019-07-14,"Leisure trip, Couple, Queen Room, Stayed 2 nights",0.5,0.5,Positive
135,7.1,Fung,Hong Kong,Good,1,2019-07-13,"Leisure trip, Group, Double Room with Two Double Beds, Stayed 2 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
136,7.9,Linda,United States of America,We enjoyed our stay and liked the price for the location.,1,2019-07-13,"Leisure trip, Couple, Queen Room, Stayed 2 nights, Submitted from a mobile device",0.75,0.55,Positive
137,8.3,Mildew,United States of America,Very Good,9,2019-07-13,"Leisure trip, Couple, Twin Room with Two Twin Beds, Stayed 3 nights",0.7800000000000001,0.9099999999999999,Positive
138,7.9,Jennifer,United Kingdom,Great location,4,2019-07-13,"Leisure trip, Solo traveler, Queen Room, Stayed 3 nights, Submitted from a mobile device",0.75,0.8,Positive
139,7.5,Mark,United Kingdom,Good,36,2019-07-12,"Leisure trip, Couple, Queen Room, Stayed 5 nights, Submitted from a mobile device",0.6000000000000001,0.7,Positive
140,7.1,Klaus,United States of America,Good,4,2019-07-12,"Leisure trip, Solo traveler, Queen Room, Stayed 1 night, Submitted from a mobile device",0.6000000000000001,0.7,Positive
141,6.3,Mario,United States of America,??,10,2019-07-12,"Leisure trip, Couple, Queen Room, Stayed 1 night, Submitted from a mobile device",0.0,0.0,Neutral
142,8.3,Laura,United States of America,Very Good,2,2019-07-11,"Leisure trip, Family with young children, Double Room with Two Double Beds, Stayed 2 nights, Submitted from a mobile device",0.7800000000000001,0.9099999999999999,Positive
143,7.5,Kevin,United States of America,"It was a good stay, we had alot of fun in the city and hope to be back someday",1,2019-07-11,"Leisure trip, Group, Queen Room, Stayed 4 nights",0.26666666666666666,0.3333333333333333,Positive
144,8.3,David,United States of America,"This is a good deal for the price if you want a private bathroom, breakfast and be near Union Square",7,2019-07-11,"Leisure trip, Couple, Queen Room, Stayed 2 nights, Submitted from a mobile device",0.4583333333333333,0.26666666666666666,Positive
145,7.9,Rosina,New Zealand,"Very sociable, and thoroughly enjoyed our stay at a very traditional old school type of accomodation",33,2019-07-11,"Leisure trip, Family with young children, Twin Room with Two Twin Beds, Stayed 3 nights",0.5437500000000001,0.19999999999999998,Positive
146,7.5,Laura,Ireland,Rude staff / good location,7,2019-07-11,"Business trip, Couple, Queen Room, Stayed 1 night, Submitted from a mobile device",0.6000000000000001,0.19999999999999998,Positive
147,8.3,Andrew,United States of America,Very Good,15,2019-07-10,"Leisure trip, Couple, Queen Room, Stayed 3 nights, Submitted from a mobile device",0.7800000000000001,0.9099999999999999,Positive
148,7.1,Idaho,United States of America,"Overall, good location for the price",2,2019-07-10,"Leisure trip, Couple, Queen Room, Stayed 1 night, Submitted from a mobile device",0.30000000000000004,0.35,Positive
149,8.8,Elizabeth,United States of America,Excellent,4,2019-06-17,"Business trip, Family with young children, Queen Room, Stayed 4 nights",1.0,1.0,Positive
150,6.7,Sal,United States of America,Good for a quick stay but not worth the value,1,2019-06-17,"Leisure trip, Couple, Queen Room, Stayed 2 nights, Submitted from a mobile device",0.4000000000000001,0.2944444444444444,Positive
