,negative_reviews
103,Breakfast too scarce
104,Could have had less sweet food for breakfast and more variety of cereal. A few less drinks in the fridge and an updated price list would have been helpful
105,Small space
106,"The elevator is hilarious. It's only a 7 story building, so feel free to take the stairs at either end of the hallway. That poor elevator is so over used (not in bad shape) that it's hard to get a lift when you want one. Be ready to wait & get close with your fellow occupants :)"
107,"Hallways could use a bit of updating, room was nicer"
108,Air conditioning would have been nice.
109,"Breakfast is anemic, needs any sort of protein:  yogurt, eggs, etc.  mostly just cereal and bread with a small bit of fruit."
110,"Control room temp. Size of bathroom, esp. shower"
111,"No air conditioner, rooms hot."
112,Looks a little tired in places. The English pub where breakfast is served is rather dark so not very inviting. As with all San Francisco hotels it was overpriced especially £ v $ !!!
113,The continental breakfast was very average but there was an amazing diner around the corner.
114,A/c would have been nice for cooling and to block out street noise.
115,Accommodation a little dated and breakfast very basic.
116,No air conditioning in the room and so the window needs to be left open for fresh air which then lets the noise in from the street. Beds were acceptable but not overly comfortable.
117,No air conditioner in room sealed windows and no balcony
118,"no air conditioner , room next to elevator"
119,"It’s not the standard quality you’d normally expect for the price you’re paying, but it’s due to its location in San Fran. Saying that, we had no problems when we stayed there for the 5 nights. Only small things I would recommend is to have the hair dryer in the room rather than having to collect it in reception and to have a price list available for the mini bar in the room."
120,No way to adjust room temperature we froze
121,There is no AC.  There was road construction all night and our window had to be open for ventilation. It was miserable. A window air conditioner would’ve been amazing!
122,For $400 I wasn't expecting paper bowls for my cereal
123,The room is nearby the elevator so we can hear noise of the elevator at night.
124,Room kinda small as well as bathroom— needs a little update.
125,"Initially checked into a room that hasn’t been cleaned and reception didn’t seem to care but another member of staff sorted things quickly. 
Elevator is very noisy all night but there is a fan in the room which I used to drown the noise out so slept well."
126,"We were in room 211 , a designated smoker's room so we found out by slight tobacco smell but this cleared up by the next day. Below this room is the bar with a noisy wooden games table that got used a couple of nights out of our 5 nights stay. There was a strange cleaning agent smell in the air that smelt like a run down old people's home.The breakfast isn't continental , its cereal & Danish pastries all on plastic disposal plates.The TV picture was grainy. Sounds a lot to moan about but we were there for 5 nights out earlyish in the morning & back @ 9 at night for a drink at the bar & the bar noise didn't happen until a couple of nights in to our stay by then couldn't be bothered to ask to move rooms."
127,"I had forgotten about the street life in SF. That’s quite jarring. To be fair, that’s a problem for all properties in SF.More specific to the property, I’D say it shows it’s age but it also has “personality” that your standard mega corporation hotel does not have. That’s the trade-off."
128,Very noisy room
129,The staff was kind of rude.
130,"the breakfast could have been better, but it was easy access and ok as far as that goes."
131,"The Windows had no screens, so opening them allowed noise from outside ventilation systems to come in. More attention to detail would have been helpful in terms of peeling paint and cracked wallpaper."
132,"Being advised not to walk the streets after dark, not so much to do with the area but just the downside of citylife.  So get picked up and dropped off at the hotel door should you have evening events to attend."
133,"The breakfast was really poor. Not good selection to choose  from. Some of the items were stale.
Told check out was at 12pm. Cleaner tried to come in twice before 12 while we were getting ready. When existing the room a member of staff looked at us and commented to another staff member 'yes they're leaving'. Said it to the staff at the front desk and didn't seem to believe it or be too bothered."
134,Breakfast was minimal
135,Undesirable smell by the elevator.
136,"The continental breakfast was subpar. There wasn’t even water available & no staff around to assist. I’ve had better inclusive breakfasts at hostels. Also could have used extra blankets and a hair dryer...,"
137,"Bed was uncomfortable, there was no fan or A/C it was very hot. Food for breakfast was basic and one day they ran out and not much left."
138,amenity
139,"Room 316 (on the building corner) looked onto two huge a/c units on the adjacent buildings, consequently the room was NEVER quiet. We were offered an alternative, but that was on the 6th floor & smaller & hotter."
140,"No aircon, too much furniture for room size, quite dated , bedroom sound from next room ."
141,"Breakfast could be a little better. Waffles or eggs, potatoes or sausage"
142,Very dark
143,There is no air conditioning in the building and it was a bit stuffy in the room. They did have fans in the room.
144,It was extremely hot and my room was very stuffy. The breakfast wasn't much for me because I eat gluten free and could only eat a few grapes one day and a banana the next. They should add oatmeal at least.
145,No air conditioning. Room was stiflingly hot. Automatically charged my credit card when I wanted to pay cash.
146,No air conditioning
147,Night staff were quite unhelpful and bordered on being rude at times. Everything appeared to be too much trouble for them i.e. supplying hot water for cups of tea (as there were no kettles in rooms) likewise for hair dryers!! Day staff were the complete opposite- very helpful and cheery.
148,No tea and coffee making facillity in the room.  No air conditioning and heating very old system of radiator ( water) controlled by hotel staff .  No phone to contact front desk in the room. Room cold so bit cumbersome having to keep going downstairs to request heating to be turned on and to ask for hot water to make a cup of tea. Building old and large gaps in sash windows making room draughty.
149,Nothing.
150,A microwave in the room would be useful.
151,Over priced and no air conditioning in the room
152,"Electric outlets, USB, and flat TV need to updated"
153,"No AC smelled very musty. We left our I Phone in the room . Very funny that the maids could not find it. I don’t like thieves and liars!!!!"
154,Beds were too small !  It got too hot in the room because the heating system runs thru the whole building whit no way to adjust it in your room.... I don't know why it was even on because the temp was 58 - 60 at night and a blanket would suffice.  But... overall it was a nice stay..!
155,A bit worn in spots
156,The so called continental breakfast just consists of muffins and some cereal.
157,"Unfriendly reception, rude even.Breakfast only sweet stuff, no bread, no yogurt. We only took coffee and juice."
158,"The elevator beside the room .. room was clean .. some stains on carpet. But i bet they were there along time so would be tough to remove.. No A/C , the fan had trouble keeping up .. so might get a little warm in the summer months but if the windows open San Francisco has a breeze will take care if that problem"
159,Long wait for elevator. We ended up just taking the stairs to the 6th level because another couple got in with all the luggage.
160,Not enough blankets or pillows
161,Alley way of the 6th floor smells pee.
162,The check in staff was not very friendly
163,Rooms need maintenance blind was broken and had been for awhile
164,"1.If Queen room only corner rooms. Rest is too small2. Almost all rooms suffer fm Airstream noise. Check before U pay3. Don’t bother hopeless guys at reception. They are probably lonely guys! But annoying"
165,The top window was slightly ajar and I couldn’t get it closed to lock. Exhaust vent or air conditioner was outside the bathroom and I could hear this whirring when bathroom door was open
166,Our room was very warm. The radiator was on full and we could not turn it off. We asked 4 times for our heating to be turned off in our room and each time the person agreed but it was on again shortly after that. It appears the heating is centrally controlled and is either on or off. One night when I called down saying I couldn’t sleep because it was so hot I was told that there were people in the hotel freezing and to open my window (which was already open).
167,The bathrooms too small /:
168,Breakfast was a little chaotic.
169,Room smelled like sweat
170,"Noisy plumbing from above and besideNoise from adjacent lift"
171,NO AC. The bed was pretty uncomfortable.
172,"Guests raid the Breakfast offerings heavily, so do not arrive too late"
173,Shower didn't have hot water and little water pressure
174,The hotel has no air conditioning. Luckily the weather was chilly and we were able to open the windows of the hotel
175,"No control over temperature in room.   Most continental breakfast includes eggs or waffles, breakfast could have better selection."
176,Everything was okay
177,Breakfast provided was minimal
178,Noisy fridge
179,Rooms are out dated. Water damage by shower. Have to walk a couple blocks to bring dog grassy area for bathroom. Staff did not know of anyplace to bring dog for bathroom.
180,The hotel was great but we were right by the elevator so it was a bit noisy. If you are picky about temperature you do not have control over the room temperature. It was a little hot for me so we had to open the window which I. the middle of SF can be pretty noisy (bring earplugs)
181,"The room was small with tight quarters. There was too much furniture. It was stuffy without airflow; with only a plug-in fan in the closet of the room. It was noisy with structure noise, water running, and random noises throughout the night, coming from unknown areas in hotel."
182,"Rooms are a bit tired. My sport coats smelled of the paint from the closet - that was a real bummer and was not happy. The ""free"" continental breakfast was better than nothing but, hardly inspiring. Thankfully, lots of cheap places for breakfast are close by."
183,The breakfast selection was sparse. There was no desk for working in the room. I had indicated business travel so I clearly expected booking.com to suggest options that would enable working while traveling.
184,Love vintage so love this hotel. My favorite is the staff & cleanliness. Overall I love everything about it. Having breakfast in the Whitehorse is an added pleasure.
185,Food served for breakfast
186,Attitude of staff. Seemed disinterested. Unfriendly and not helpful
187,More transparent when it comes to forms of payment.
188,There was nothing we didn't like
189,"Bathroom!  No place for soap or shampoo. Then, hot water was very iffy. My shower was quite the disaster."
190,"The check-in experience was hugely disappointing, early check-in was shut down swiftly and I was made to wait and then rudely ignored by the handover staff. The staff were hugely rude and ignored my requests. The staff had an aura of entitlement that was really odd for a hotel."
191,The hotel is getting tired and could do with a renovation and our room was not cleaned properly every day - dust on the surfaces.
192,"Rental Car not recommended, parking is expensive."
193,Continental breakfast is very minimal.
194,Room had a smell
195,The room was very small without any view.
196,The receptionist was very helpful in provide parking information and other recommendations for the sightseeing of the city.
197,"We were told the continental breakfast hours were from 7am-10:30am. We came down at 10:15 and they were mostly done cleaning up the room. When we asked about it, they said no it didn't go until 10:30. Normally I would expect them to offer something since they had just put stuff away, but they would't even get us a coffee cup even though the carafes were still out. It was really disappointing. We also went to the White Horse Bar the evening before, which is open until 2:00am. We had just sat down to drink a couple beers we ordered and a rude woman came over to us at 1:30am and said you will need to leave. You can take the drinks up to your room. While I had high hopes when we first checked in and the staff was so friendly. These two experiences left a bad taste."
198,"Tiny version of continental Breakfast. - you expect more.
No aircondition - bad air on the room"
199,"Price could have been lower, but overall the hotel met my expectations"
200,"The bed sinks in the middle and is generally quite uncomfortable 
Very noisy sounds at night, heater probably, but also tapping. Being a bit of scaredycat it wasn’t good for my sleep"
201,Room was a little “tired” with paint peeling off the heater.  No tea/ coffee making facilities in room.
202,Nothing to be done on this but stayed there for 2 weeks and the tiny room was not very comfortable after a while.
203,"Breakfast variety not muchNo toothbrush/toothpaste provided"
204,Staff unhelpful and not very friendly
205,The service and the staff were professional. The location was close to Union square. I would stay there again. The breakfast was good.
206,Bad noise from heater at 7th floor
207,Heating is very poor
208,"My room was definitely shabby.  The television/refrigerator table was pretty beat up.  It was particle board with veneer and the veneer had been scraped off along the bottom... it looked like it was rescued from the side of the road after falling off truck and getting hit a couple of times.  Generally, rundown.  Really needs a refresh.  No desk or place to work in the room that I had, but friends staying at the same hotel did have a desk.  I had to work in the sitting area downstairs near the entrance to the Tavern.   No place to plug in a computer in the room.  Had to recharge in the bathroom and unplug lamps and clock radio to work on the computer."
209,Reception was very rude
210,"Staff were not exactly helpful nor friendly... Breakfast was basic continental - mini croissants, jelly, fruit and cereal. No hot breakfast items."
211,"The bathroom in particular was a bit tired but it did the job and the 'view' from our window was mostly the heating system (I think).  The blind fell down the first time we used it but it was easy to re-hook back in place.  We ordered a taxi to take us to the airport on the day we left and paid a deposit, unfortunately it didn't turn up and there was no record of it being booked.  Fortunately, we were Uber registered so called that and got a refund for our taxi deposit.  We probably should have checked the day before but didn't."
212,"Brakefast Missed hot meal Like eggs bacon pancakes All usual in a so called brakefast whe is offered Otherwise you must have said Coffee and some pastries or so."
213,The unscheduled nightly charge. If a local tax or charge is necesssary this should be indicated in booking.com pricing
214,Was assigned room near the elevator which is very noisy.
215,Bfast. They need a few toasters and sliced bread. And proper tables.
216,Shower could not be regulated. Either too hot or cold. Gave up after 30 minutes and had to use wash cloth.
217,"Breakfast is VERY basic, especially if you have any gluten issues; it was carbohydrate heaven. The only thing I could eat there were grapes & a banana. The hot water for tea had been stored in a container that at some point, had coffee in it. It’s a smell & flavor you cannot get out, so your tea ends up tasting like coffee-tea, pretty gross. Pillows on the bed - terrible"
218,No door for the bathroom. My sister and I had no privacy from each other
219,"room on 3rd floor, windows looking on walls"
220,"Had to get a hair dryer from front desk. Limited number."
221,"Room wasn't that clean. We noticed they never vacuumed the carpet during our 3 night stay. Breakfast was too basic, but that's what you can expect form a hotel of it's category .Valet parking was SO EXPENSIVE! There are many options around."
222,Breakfast choices very vague & parking at lot across the street way too expensive. No parking with room stay
223,We missed dinner because the room attendant took to long to put a battery in the chirping smoke detector. We were discouraged from going to breakfast because right outside our window the kitchen lady was hacking and coughing and they took the pots that were sitting outside all night inside the kitchen. The tv was analog no cable.
224,no hot water flask and complimentary mineral water in the room.
225,The room was nice however the paint on the radiator was chipping badly which was a little freaky and seemed un-clean.
226,Does the hotel have a heater? Cause it was cold in the room.  There was no complimentary bottled water :(
227,Breakfast was a disappointment and the coffee poor
228,Maybe it can be a little more cheaper ?:)
229,I would have liked some heating in the room especially since it is winter in San Francisco
230,"Bed were little narrow.No hair dryer in the room, so I had to ask the front desk and I got one but had to give it back. Not so bad."
231,The room is really small
232,"The attitude of the manager really pissed me off...he is an Asian guy but only smiled to white peoples. When he saw any Asian travelers, he would suddenly changed into a rude and impolite mode. REALLY INAPPROPRIATE"
233,I had to go to  the main floor for ice. And i didn't  know how to work  the heater. And the TV didn't work
234,It was ok.
235,"Breakfast was poor and not environment friendly. Although the room had two ""queen"" beds, it was not comfortable for 2 adults and a 12 year old child. The house keeping was starting cleaning ver early in the morning. The noises from other rooms coupe be heard."
236,"We did not appreciate how the valet suggested us to walk a block away (although close) when we could have walked to begin with in the beginning to the parking garage if that was the case. We would have much preferred to just pay for the parking which was $35 flat rate, instead of $42.75 for valet when in the end we ended up getting the car ourselves. We were only given the option to walk at the end. It would have been nice to be given the option of valet or walking at the beginning. As well as the garage being a block away and the valet telling us its 20-30 minutes away then 40 to grab the car. We felt a bit for granted for our money. We are students and every penny counts."
237,"The bar in the room could be extended with a kettle and some cups, tea,coffee to warm up after a long walk on the cold. It would have been nice, if the staff would have been more welcoming and motivated. I went to the reception to ask a question, no one was behind the counter but a guy sitting on the couch in the lobby. As he noticed I have a question, he yelled across the hall of he could help me, but didn't even bother to get up or look up my details as I asked for a late check out. (His English wasn't the best either, it was quiet heard to understand him) Another time there were two behind the counter. They told me to wait as someone else would help me and continued a conversion in a different language. As no other staff member seem to appear, the lady got up and helped me out (which she could have done straight away)."
238,the reception area is really chaotic and dirty ....
239,Staff
240,Check in staff were stressed and day staff were not that helpful with questions we had about getting about the are
241,The hotel needs some basic upkeep. The toilet flushed after 3/4 times (-a lot of wasted water)   Mold on the bathroom floor and wallpaper peeling. It's sad because we've been staying there for many years and love it!
242,"First room.....bathroom window louvers open....could not be closed so cold air came in....Staff changed room for us in am.....this one had shower that door that leaked on floor when in use."
243,"The rude staff at check in check out - he appeared to be the manager, but had no idea of customer service. The grumpy bar lady - if you don't like your jobs or interacting with people in a civil way I suggest you both get another job where no human interaction is required."
244,"Parking was advertized as onsite, I assumed that guests were free park but that is not the case.  Guestes do not even get a discount.  Be prepared to have the parking fees to be billed by each entity that handles your car; I had to pay the hotel for booking the parking this fee is paid at check out.  You will also have to pay a fee  paid directly to the attendant for the parking garage."
245,the check in....desk chap was stressy and kept getting sidetracked - not what you want after 16+ hours travelling. Getting a taxi was a headache and not 100% reliable...book your self (somehow).
246,Front desk staff was rude and unfriendly.  We asked him a question and he said he was busy eating.  He said we'd have to come back later.  Never encountered this type of response from the front desk.  Not sure about location of this hotel.
247,"They don't have parking, and the parkings near arw very expensive
The breakfast was very simpler"
248,"Breakfast. Super basic.
View to inner court."
249,"Hotel a little dated, but good."
250,"The rooms vary in size and facilities. Some of the larger rooms have only a very narrow window overlooking an alley. The rooms facing Sutter street are small, and the bathrooms are minuscule."
251,Homeless outside woke us up around 4am talking very loud.   We left new sunglasses at the bar & tried to see if someone turned them in but they stated no. Found out later they were exchanged with my receipt at the store I bought them at.
252,"Too soft beds.Only sweets for breakfast"
253,The room was next to the elevator so we could hear it all day and all night
254,"The twin room was very small. We had difficulty opening our suitcases. The radiator was very hot and only about 1 foot away from our heads. Should have booked a bigger room, but I think this was the last one. Breakfast was in the bar next door and was rather basic. Again I suppose what we paid for."
255,"The room had no view, the window looked at the oposit wall 1 meter distance. Internet was not reliable, i even could not arrange my check in for the next day travel.  However as a positive feed-back: the hotel stuff offered to go to their other hotel a few blocks away where i was able to arrange the check in and printing the documents. Parking cost is very high in this location and you need to pay it separately, and need to ask for the price as well as it is not mentioned."
256,My room was directly on the street! Which turned out to be a godsend. I could open my window when people were smoking in a non smoking area...it seeped through the vents.
257,"Breakfast just okay, could have done a better job.Breakfast room ridiculously hot!!Guest room very, very hot. Can’t imagion what it is like in the summer months.Sheets on beds old and pilled, need to be replaced."
258,A bit dated but adequate for what we needed.
259,"- maybe a bit too antique or maybe not that clean in the room- no parking for guests (terrible to find free parking spot there)- bathroom door old and unable to be closed- wouldn't recommend it for a longer stay"
260,NA
261,None
262,It seemed as if a perfume spray was pumped into the room periodically.
263,"No air con, blinds in room faulty so could not sleep as outside light and noise from having to have window open. Breakfast very basic just pastries, cereal and coffee all in plastic cups and paper plates."
264,"Staff was disinterested.My daughter & I walked in with our suitcases and the guy at the desk barely looked up.He muttered ""Checking Out?"" We had just come from the airport after an almost 6 hr flight and were really astonished at his indifference.We replied ""NO,checking IN"",and he rudely said without looking up ""Rooms aren't ready till 3"". We said we had just come from the airport and would just like to leave our bags while we went for something to eat. He then said that maybe he could find us a room that was ready,and so he did.But eye contact and a ""Hello Welcome to the Beresford"" would have been nice.The greeting.or lack of,left a bad first impression on us.That's not how you greet guests,in my way of thinking.The room faced the street and had no screens.It was very warm,so we opened the window,which brought in bugs,flies,I think.There was also a lot of street noise,and we were on the 7th floor.For the price,I think we could have done better elsewhere.The place is very dated and the rooms could use a paint job.But the beds were comfortable and the bathroom was adequate."
265,"Wasn't the best location for children, streets were dirty with feces and vomit. Would not stay here again for this reason."
266,"Our room was right on top of the bar/restaurant, it was EXTREMELY noisy until 2am."
267,"Our room haven’t microwave and hair dryer, can imagine we got cold and didn’t have tool to get hot water to make a tea :( Was sad. Don’t have own parking so you must to pay 42+taxes everyday. I wrote them an email previously to make a reservation asking for it and they simply said: We have parking at rear.  Then my reservation for three nights was from 535 to 730 dollars because of my rent car."
268,Room was very small and too hot with no way to cool down. Walls are thin.
269,Only sweet food available for breakfast
270,The breakfast selection was limited
271,Nothing.
272,No coffee maker in room.  Coffee not available until 7:00 am at breakfast.
273,The shower was not ideal. Inconsistent temperature and a shower head that didn’t spray well. Also it was a bit too low for someone 6’ tall.
274,"Bathroom feels very dated- bath was not full size & was sunk into floor with shower over. Also needed an efficient extractor. My room was on the top floor and there was noise coming from the roof where there were vents. An upgrade to the bathroom would make the room and stay overall much more comfortable."
275,small........For $200 needs to be bigger!
276,Breakfast was very poor.
277,"Not the cleanest (just a couple of blond hairs around and I'm not blond), but was cleaned well each day of my stay. Some streets around the hotel felt a little bit sketchy, but I was safe evan at night."
278,"Coffee could be available earlier (none in room). Business travel requires being up much earlier, and 7:00am is LATE to have coffee available. I had to walk to 711 at 4:45am, and it was full of tweakers, and I was grabbed walking down the street, the area is not bad, but at 5am is spooky walking to get coffee.No help from Bell/valet (and the guy was not 'that' busy) when I was leaving. No eye contact (intentional), made me late. Arrival was the opposite; VERY helpful; this was 5pm on a Monday. The morning staff - not at all helpful at 7:10am and I had much to load in my car. Very stressful."
279,"The reception staff weren't friendly or pleasant, especially the fella who checked us out when we left. Too busy watching a screen, didn't acknowledge us, barely spoke. Never asked us if everything was ok, didn't say goodbye or nothing. No customer service at all behind reception. Hotel old and dated, furniture in room ancient and couldn't open window. No safe in room and wouldn't dream of asking the awful ignorant staff at reception so locked our money and passports in our cases. Bathroom old and the showers were terribly dated, took ages to get temperature right. Ruined a pair of trousers with the iron in the room and i was careful to use the correct setting and the quarter size small ironing board was a total waste of time. The only good thing was the beds were comfortable and we slept well at night. The fella who took our cases to our room when we first checked in was really nice and helpful, the only member of staff in this hotel that was. Definitely wouldn't stay here again!!!!"
280,Bathroom poorly presented with peeling wallpaper and chipped paintwork. Staff surly at best!
281,"THE SO CALLED CONTINENTAL BREAKFAST WAS DISGUSTING.  Bad cold coffee, a bowl of grapes, stale muffins, and croissants. Come on folds, get with the program. How hard would it be to have a decent cereal, some cold cuts, toast, and good coffee. shame on you for calling this breakfast.   The door in the bathroom was not even a door. And the satellite dish was out and we were not told about it. We were there for two days, and the satellite was out the entire time."
